value,count
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35,9
NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable,8
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36,4
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37,4
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38,4
NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable,3
NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable,3
NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1,3
NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:44,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:45,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:46,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:47,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:48,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:49,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:50,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:51,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:52,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:53,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:54,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:55,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:56,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:57,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:58,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:59,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:60,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:61,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:62,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:63,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:64,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:65,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:66,3
